id;start_date;end_date;language
1;2019-06-10T11:07:55;2019-06-10T04:16:12;FRENCH
2;2019-06-10T12:38:01;2019-06-09T21:44:11;FRENCH
3;2019-06-10T08:10:05;2019-06-09T23:34:05;FRENCH
4;2019-06-09T21:21:57;2019-06-10T04:48:58;FRENCH
5;2019-06-10T06:20:36;2019-06-10T11:04:44;FRENCH
6;2019-06-10T12:37:36;2019-06-10T13:54:32;FRENCH
7;2019-06-09T21:59:56;2019-06-10T10:40:43;FRENCH
8;2019-06-09T19:31:15;2019-06-10T03:31:24;FRENCH
9;2019-06-10T05:19:21;2019-06-10T13:43:59;FRENCH
10;2019-06-10T08:37:30;2019-06-10T05:53:45;FRENCH
